NEE,NEV,Count
America,Luân Bố,1
America,Luân Đôn,1
America,Mĩ,3
America,Mỹ,37
America,Nagano,1
America,Nam Hoa Kỳ,1
America,Nhật Bản,1
America,Nickels Koppernigk,1
America,Saddam Hussein,1
America,Trung Mỹ,1
America,Việt Nam,1
America,châu Mỹ,6
America,nước Mỹ,8
America,trường Đại học Cracow,1
America,Đại Tây Dương,1
America Online,America Online,1
America Online,Hải,2
America Online,Tim,1
America Online,Tim McVeigh,1
American,Baghdad,1
American,"Bill Clinton,",1
American,Butler,1
American,Bắc Ireland,1
American,George,1
American,Hoa Kỳ,3
American,Iran,1
American,Iraq,1
American,Kofi Annan,1
American,Liên Hợp Quốc,1
American,Mỹ,17
American,Mỹ George Mitchell,1
American,Quốc Hội,1
American,Saddam,1
American,Santo Claus,1
American,Việt Nam,1
American,Úc,1
American,đài BBC,1
American Academy of Cosmetic Surgery,Viện Phẫu thuật thẩm mỹ Mỹ,1
American Airlines,Western,1
American Airlines,hãng American Airlines,1
American Express,American Express,1
American Express,Betty Currie,1
American Express,Jordan,1
American Express,Revlon,1
American Midwest,Trung Tây nước Mỹ,1
Americans,ABC News,1
Americans,Clinton,1
Americans,Mỹ,1
Amundsen,Amundsen,1
Amundsen,Nam cực,1
Anaheim,Anaheim,1
Anaheim,Bill Gared,1
Anaheim,Brian Muir,1
Anaheim,Chicago,1
Anaheim,Edmonton,1
Anaheim,Edmonton Jason Arnott,1
Anaheim,Florida,1
Anaheim,New Jersey,1
Anaheim,Valarie Zelaputon,1
Anderson Cooper,ABC,1
Anderson Cooper,ABC News,2
Anderson Cooper,Anderson Cooper,3
Anderson Cooper,Monica Lewinsky,1
Anderson Cooper,New York,1
Anderson Cooper,Washington,1
Andersons,Anderson,1
Andrew,Andrew,1
Andy Bleiler,Andy Bleiler,1
Andy Bleiler,Lewinsky,1
Andy Bleiler,Oregon,1
Andy Bleiler,Starr,1
Ang,Ang,1
Ang,Mỹ Linh,1
Angela,Angela,1
Angela Astore,Angela Astore,1
Anglo,Dân Anglo,1
Anglo,Saxon,1
Anglo,Đức,1
Anita Pratap,Anita Pratap,1
Anita Pratap,New Delhi,1
Anjum,Anjum,1
Ann,Ann,12
Ann,Mary,1
Ann,Robert,2
Anne,Anne,3
Anne Black,Anne Black,1
Anne Black,Phomex,1
Anne Boleyn,Anne Boleyn,2
Anne Smith,Ann Smith,1
Anne Smith,Mary Smith,1
Annie,Annie,1
Antarctica,Châu,2
Antarctica,Châu Phi,1
Antarctica,Mỹ,1
Antarctica,Nam Cực,2
Antarctica,Nam Mỹ,1
Anthony Keith James,Anthony Keith James,1
Antonio,Antonio,4
Antonio,Castro,2
Antonio,Cuba,1
Antonio,Toriente,1
Antonio Mora,ABC,2
Antonio Mora,ABC News,2
Antonio Mora,Antonio Mora,4
Antonio Mora,Cuba,1
Antonio Mora,Havana,3
Antony Keith James,Antony Keith James,1
Aouita,Aouita,1
Arab,Châu Phi,1
Arafat,Arafat,1
Arafat,Bảo tàng Tưởng niệm Holocaust,1
Arafat,Washington,1
Aran Islands,đảo Aran,1
Arctic,Nam Cực,1
Argentina,Achentia,1
Arizona,Arizona,5
Arizona,California,2
Arizona,Colorado,1
Arizona,New Mexico,1
Arizona,Đại Vực,1
Arkansas,Arkansas,2
Arkansas,FBI,1
Arkansas,Starr,1
Arkansas,Sở Tư pháp,1
Arkansas,Thẩm phán Wright,1
Arkansas,Vince Foster,1
Arkansas,Văn phòng Du lịch Nhà Trắng,1
Arkansas,Web Hubbell,1
Armenia,Armenia,1
Armenia,Kazakhstan,1
Army,Đại úy Hải quân xếp cao hơn Đại úy,1
Army Corps,Tư lệnh Quân đoàn 3,1
Army-Run Farm Department,Cục phó Cục Nông trường Quân đội,1
Arthur,Arthur,2
Arthur Higgins,Arthur Higgins,1
Asahikawa,Hokkaido,1
Asahikawa,Trung học Asahikawa,1
Asami,Asami,2
Ashby,Ashby,1
Ashley Sinclair,Ashley Sinclair,1
Asia,Caesar,1
Asia,Châu,2
Asia,Châu Phi,1
Asia,Châu Á,6
Asia,Châu Á khỏi Châu Mĩ,1
Asia,Hong Kong,1
Asia,Hồng Kông,1
Asia,Indonesia,2
Asia,La Mã,1
Asia,Mỹ,2
Asia,Nam Cực,1
Asia,Nam Mỹ,1
Asia,Ngân hàng Thế giới,1
Asia,Ngân hàng Đầu tư Peregrine,1
Asia,Peregrine,1
Asia,Quỹ Tiền tệ Quốc,1
Asia,châu Á,9
Asia,châu á,1
Asia,phương Tây,2
Asia,Á Châu,1
Asian,Bộ trưởng Quốc phòng và Chủ tịch Cục Dự trữ Liên,1
Asian,Cục Dự trữ Liên bang,1
Asian,Mỹ,3
Asian,bờ biển châu á,1
Asian,châu Á,3
Associated Press,Kaczynski,1
Astrid,Astrid,2
Asuka,Asuka,1
Atami,Atani,1
Athens,Athens,3
Athens,Vệ Thành,1
Athens,thành phố Athens,1
Atlanta,ABC News,2
Atlanta,Atlanta,4
Atlanta,Coretta Scott King,1
Atlanta,Phó Tổng thống Gore,1
Atlanta,Rebecca Chase,2
Atlanta,Rhonda Rowland,1
Atlanta,Trung tâm Vua nằm,1
Atlanta Symphony,Atlanta Symphony,1
Atlantic,Azores,1
Atlantic,Boston,1
Atlantic,Florida,1
Atlantic,Maine,1
Atlantic,New York,1
Atlantic,Vịnh Mexico,1
Atlantic,biển Đại Tây Dương,2
Atlantic,Đại Tây Dương,7
Atlantic,đại Tây Dương đến Thái Bình Dương,1
Atlantic City,Atlantic City,1
Atlantic Ocean,Đại Hồ,1
Atlantic Ocean,Đại Tây Dương,1
Audrey Flack,Audrey Flack,1
Audrey Flack,Nữ hoàng Catherine,1
Augustus,Augustus,1
Augustus,La Mã,1
Augustus Caesar,Augustus Caesar,1
Auld Lang Syne,Auld Lang Syne,1
Auntie Jill,Dì Jill,1
Australia,Anh,4
Australia,Bayer,1
Australia,Canada,1
Australia,Châu,2
Australia,Châu Phi,1
Australia,Great Barrier Reef,1
Australia,Mary,1
Australia,Mission Australia,1
Australia,Mỹ,3
Australia,Nam Cực,1
Australia,Nam Mỹ,1
Australia,New Zealand,1
Australia,Nhật,1
Australia,Niu Zilân,1
Australia,Steve Young,1
Australia,châu Úc,1
Australia,nước Úc,2
Australia,Ôxtralia,1
Australia,Úc,34
Australia,đài BBC,1
Australia Bank,Ngân hàng Úc,1
Austria,EU,1
Austria,Hungari,1
Austria,Hà Nội,1
Austria,Pháp,1
Austria,Vienna,1
Austria,Việt Nam,2
Austria,nước Úc,1
Austria,Áo,3
Austria,Đức,1
Avery County,Avery County,1
Avery County,North Carolina,2
Avon,Anh,1
Avon,Avon,1
Avon,Luân Đôn,1
Avon,Oxford,1
Avon,Stratford,2
Ayer,Ayer,1
Azores,Azores,1
Azores,Đại Tây Dương,1
BBC,Anh,2
BBC,BBC,2
BBC,Mỹ,1
BBC,Shakespeare,1
BBC,Úc,2
BBC,Đài BBC,1
BBC,đài BBC,4
Ba Be Lake,Ba Bể,1
Baby Erin,Erin,1
Babylon,Babylon,1
Babylon,Bob,1
Bach,Bach,1
Bach,Mozart,1
Bach Dang River,Hà Nam,1
Bach Dang River,cửa sông Bạch Đằng,1
Bach Ho,Bạch Hổ,1
Baghdad,ABC,1
Baghdad,ABC News,2
Baghdad,Baghdad,9
Baghdad,Butler,1
Baghdad,Chánh Thanh,1
Baghdad,Iraq,3
Baghdad,LHQ,1
Baghdad,Liên Hợp Quốc,1
Baghdad,Moscow,1
Baghdad,Mỹ,1
Baghdad,Richard Butler,1
Baghdad,Ron Claiborne,3
Baghdad,Saddam Hussein,1
Baghdad,Scott Ritter,1
Baghdad,Yeltsin,1
Baghdad,quốc hội Iraq,1
Bahamas,Bahamas,1
Bahrain,Bahrain,1
Bahrain,Saudi Arabia,1
Baird,Baird,1
Balliol College,Oxford,1
Balliol College,trường cao đẳng Balliol,1
Baltic sea,biển Ban,1
Ban Bo,Bình Lư,1
Ban Bo,Bản Bo,1
Bangkok,Bangkok,1
Bangor,Bangor,1
Bangor,Maine,1
Bank,Chaudhuri,1
Bank,Indonesia,1
Bank,Ngân,1
Bank of America,Ngân,1
Bank of America,Prescott,1
Bank of China,Li Lin,1
Bank of China,Ngân hàng Trung Quốc,2
Bank of China,Owen,1
Bank of China,Thượng Hải,2
Bank of China,Trung Quốc,2
Bank of China,ngân hàng Nông nghiệp Trung Quốc,1
Bank of China,ngân hàng Trung Quốc,2
Bank of China,ngân hàng Xây dựng Nhân dân Trung Quốc,1
Bank of Communications,Ngân hàng Nhân Dân Trung Quốc làm ngân hàng trung ương,1
Banthorp,xứ Banthorp,1
Baoviet,Bảo Việt,1
Baptiste,Baptiste,1
Baptiste,Tobago,1
Baptiste,Trinidad,1
Barbados,Anh,1
Barbados,Barbados,1
Barbara,Barbara,2
Barbara,Harry,1
Barcelona,Aberdeen,1
Barcelona,đội Barcelona,1
Barrett,Barrett,1
Barry Serafin,ABC,1
Barry Serafin,ABC News,2
Barry Serafin,Barry Serafin,3
Barry Serafin,Brazil,1
Barry Serafin,Mỹ,1
Barry Serafin,Washington,2
Basa,Việt Nam,3
Bayer,Adidas,1
Bayer,Bayer,13
Bayer,EU,1
Bayer,Mexico,1
Bayer,Mission Australia,1
Bayer,Mỹ,1
Bayer,Rufus,1
Bayer,Wenning,1
Bayer AG,Leverkusen,1
Bayer AG,Win,1
Bayer Central Works Council,Hội đồng Bayer Trung ương,1
Bayer CropScience,Bayer CropScience,1
Bayer Cross,Bayer,1
Bayer Group,Bayer,1
Bayer Group,Tập đoàn Bayer,1
Bayer Korea,Adidas,1
Bayer Korea,Bayer Hàn Quốc,1
Becker,Becker,3
Beethoven,Beethoven,6
Beidaihe,Hà,1
Beidaihe,Trung Quốc,1
Beijing,Bắc Kinh,10
Beijing,Hồ Đồng,1
Beijing,Mỹ,2
Beijing,Nguyễn Minh Triết,1
Beijing,Quảng Đông,2
Beijing,Smith,1
Beijing,Thanh Đảo,2
Beijing,Thượng Hải,2
Beijing,Trung Quốc,1
Beijing,Tứ Xuyên,2
Beijing,Việt Nam,1
Beijing,khu Sùng Văn,1
Beijing,khu vựa phía Nam Bắc Kinh,1
Beijing,nhà hát Poly Bắc Kinh,1
Beijing,sao đạo Lạt,1
Belait,Belait,1
Belait,Tutong,1
Belait,Vương quốc Brunei,1
Belait,thành 4 quận chính : Brunei-Muara,1
Belfast,Belfast,2
Belfast,Gatwick,1
Belfast,Heathrow,1
Belgium,Anh,1
Belgium,Bỉ,2
Belgium,Châu Âu,1
Belgium,Gino Alzetta,1
Belgium,Hà Lan,1
Belgium,Pháp,2
Belgium,Âu châu,1
Belgium,Ý,1
Belgium,Đoàn,1
Belgrade,Ben,1
Belgrade,nước Nam Tư,1
Bell Towers,Chuông,1
Bell Towers,Tháp Trống,1
Bell Towers,Điện Thiên Vương,1
Ben,Benjamin,1
Ben,Đăk Lăk,1
Ben Bradlee,Ben Bradlee,1
Ben Thanh Joint-Stock Company,Bến Thành,1
Benjamin,Benjamin,1
Benjamin Netanyahu,Bộ ngoại giao Madeleine Albright,1
Benjamin Netanyahu,Israel Benjamin Netanyahu,1
Bennett,Bennett,4
Bennett,Linda,2
Berlin,Berlin,1
Berlin,Béclin,1
Berlin,Jerusalem,1
Berlin,Moscow,1
Bertrand Picard,Bertrand Picard,1
Bertrand Picard,Thụy Sĩ,1
Beth Nissen,ABC News,1
Beth Nissen,Beth Nissen,1
Beth Nissen,New York,1
Betsy Stark,ABC News,3
Betsy Stark,Betsy Stark,3
Betsy Stark,Fort Lee,1
Betsy Stark,Gaithersburg,1
Betsy Stark,Maryland,1
Betsy Stark,New York,1
Betsy Stark,bang New Jersey,1
Betty Currie,American Express,1
Betty Currie,Betty Currie,4
Betty Currie,Jordan,1
Betty Currie,Lewinsky,1
Betty Currie,Revlon,1
Betty Currie,Vernon Jordan,1
Betty Dopson,Betty Dopson,1
Betty Dopson,Catherine,1
Betty Dopson,Hoa Kỳ,1
Beverly Hills High School,Trường Trung học Beverly Hills,1
Bhutan,Bhutan,1
Bhutan,Ấn Độ,1
Bhutto,Bhutto,1
Bhutto,Pakistan,1
Bi Luo Chun,Giang Tô,1
Bi Luo Chun,Hàng Châu,1
Bi Luo Chun,Long Tỉnh,1
Bill,Bill,17
Bill,Bod,1
Bill,Emily,4
Bill,Nhật,1
Bill,Peter,1
Bill,Sue,2
Bill,Times,2
Bill,Tom,2
Bill Black,Bill Black,1
Bill Blakemore,ABC,2
Bill Blakemore,ABC News,3
Bill Blakemore,Bill Blakemore,5
Bill Blakemore,Cuba,2
Bill Blakemore,Santa Clara,1
Bill Blakemore,Thành phố Vatican,1
Bill Blakemore,Đức Giáo Hoàng,1
Bill Bradley,Bill Bradley,1
Bill Bradley,Princeton Tiger,1
Bill Brown,Bill Brown,1
Bill Brown,Trung Quốc,1
Bill Clinton,Al Gore,1
Bill Clinton,Bill Clinton,3
Bill Clinton,"Bill Clinton,",1
Bill Clinton,Gene Sperling,1
Bill Clinton,Kennedy,1
Bill Clinton,Kofi Annan,1
Bill Clinton,Liên Hợp Quốc,1
Bill Clinton,Mỹ,2
Bill Clinton,Nhà Trắng,1
Bill Clinton,Saddam,1
Bill Gared,Anaheim,1
Bill Gared,Bill Gared,1
Bill Gared,Brian Muir,1
Bill Gared,Chicago,1
Bill Gared,Edmonton,1
Bill Gared,Edmonton Jason Arnott,1
Bill Gared,Florida,1
Bill Gared,New Jersey,1
Bill Gared,Valarie Zelaputon,1
Bill Gates,Bill Gates,1
Bill Gottlieb,Bill Gottlieb,1
Bill Gottlieb,Emily Mindell,1
Bill Gottlieb,New York,1
Bill Lane,Bill Lane,1
Bill Lane,Texas,1
Bill Redeker,ABC,3
Bill Redeker,ABC News,3
Bill Redeker,Bill Redeker,6
Bill Redeker,Montreal,5
Bill Smith,Bill Smith,3
Billy,Billy,7
Binh Lu,Bình Lư,1
Binh Lu,Bản Bo,1
Binh Phuoc Province,Tỉnh Bình Phước,1
Binh Thuan,Bình Thuận,7
Binh Thuan,Sở Tài chính Vật,1
Binh Thuan,Thuận,1
Binh Thuan,Tăng Việt Cường,1
Binh Thuan,nước Việt Nam,1
Binh Thuan Newspaper,Bình Thuận,1
Binh Thuan Newspaper,Dân,1
Birmingham,ABC News,1
Birmingham,Birmingham,4
Birmingham,Felixstowe,1
Birmingham,Luân Đôn,1
Birmingham,Luân Đôn đến Birmingham,1
Birmingham,Na Uy,1
Birmingham,Oslo,1
Birmingham,Oxford,1
Birmingham,Rebecca Chase,1
Birmingham,nước Anh,1
Bishkek,Bishkek,2
Bishkek,Bệnh viện Quốc,1
Bishkek,Musa Izatov,2
Bishkek,bệnh viện quốc gia,1
Bismark,Bismark,1
Bismark,Đức,1
Black Sea,Bosporus,1
Black Sea,Marmara,1
Black Sea,Steve Fossett,1
Blair,Anh,1
Blair,Blair,1
Blair,Hội đồng Bảo an,1
Blair,Saddam Hussein,1
Blake,Blake,1
Blue Funk,ban Blue Funk,1
Bo Derek,Bo Derek,1
Bo Derek,Harrison Ford,1
Bo Derek,Robert Duvall,1
Board of Pardons,Lạy,1
Bob,Babylon,1
Bob,Bob,7
Bob,Derek,1
Bob,Jôn,1
Bob,Liz,1
Bob,Peter,1
Bob Jamieson,ABC,1
Bob Jamieson,Bob Jamieson,1
Bob Jamieson,Denver,1
Bob Macey,Terry Nichols,1
Bob Macey,Timothy McVeigh,1
Bob Macey,quận Bob Macey,1
Bob Sheets,Bob Sheets,1
Bob Thomson,Bob Thomson,1
Bob Weiner,Linda Tripp,1
Bob Weiner,Monica Lewinsky,1
Bob Woodruff,ABC,1
Bob Woodruff,ABC News,1
Bob Woodruff,Bob Woodruff,2
Bob Woodruff,Lewiston Maine,1
Bob Woodruff,Maine,1
Bob Woodruff,New Hampshire,1
Bob Woodruff,New York,1
Bob Woodruff,Vermont,1
Boeing,Boeing,1
Bombay,Bombay,1
Bombay,London,1
Bono,Bono,3
Bono,California,1
Bono,Hạ viện thuộc đảng cộng hòa Newt Gingrich,1
Bono,Khu nghỉ mát Trượt tuyết Thiên đường,1
Bono,Reno,1
Bono,Thiên,1
Boris Yeltsin,BorisYeltsin,1
Boris Yeltsin,Nga,1
Boston,Anh,1
Boston,Bernard,1
Boston,Boston,11
Boston,Clippers,1
Boston,Hoa Kỳ,1
Boston,Houston,1
Boston,Milwaukee,1
Boston,New York,2
Boston,Portland,1
Boston,Span,1
Boston,Đại Tây Dương,1
Boston,Đức,1
Botham,Border,1
Botham,Botham,1
Botswana,Botswana,1
Bottelier,Bottelier,1
Boula,Boula,1
Braganza,Anh,1
Braganza,Braganza,3
Braganza,Catherine,3
Bravo,Hoan,1
Bravo,Kate,1
Brazil,ABC,1
Brazil,Barry Serafin,1
Brazil,Braxin,1
Brazil,Brazil,6
Brazil,Bộ Ngoại,1
Brazil,Hi,1
Brazil,Mỹ,1
Brazil,Sao Paulo,1
Brest,Brest,1
Brian Muir,Anaheim,1
Brian Muir,Bill Gared,1
Brian Muir,Brian Muir,1
Brian Muir,Chicago,1
Brian Muir,Edmonton,1
Brian Muir,Edmonton Jason Arnott,1
Brian Muir,Florida,1
Brian Muir,New Jersey,1
Brian Muir,Valarie Zelaputon,1
Brian Rooney,ABC,1
Brian Rooney,ABC News,1
Brian Rooney,Brian Rooney,2
Brian Rooney,Palm Springs,1
Brian Ross,ABC,1
Brian Ross,Brian Ross,3
Brian Ross,Herman,1
Brighton,Brighton,7
Brighton,London,2
Brighton Building Society,Hội xây dựng Brighton,1
Bristol,Bristol,2
Bristol,Britol,1
